teks,label,matkul
suka materi yang membahas peran informatika di berbagai bidang,Positif,Pengantar Informatika
saya kurang eksplorasi sehingga terasa kurang mendalam,Negatif,Pengantar Informatika
aku suka bagian praktik coding karena bisa langsung mencoba apa yang dipelajari di kelas,Positif,Algoritma Pemrograman 1
menurut saya tugasnya kadang cukup banyak dan butuh waktu ekstra untuk mengerjakannya,Negatif,Algoritma Pemrograman 1
belajar ngoding,Positif,Algoritma Pemrograman 1
kurang praktek di lab,Negatif,Algoritma Pemrograman 1
perhitungan,Positif,Kalkulus 1
cara mengajar atau penyampaian materi dosen,Negatif,Kalkulus 1
menghitung,Positif,Sistem Operasi
tidak ada,Negatif,Sistem Operasi
pembahasan mengenai sejarah komputer dan peran informatika di berbagai bidang yang membuka wawasan,Positif,Pengantar Informatika
sebagian materi terasa berulang dan kurang menantang bagi mahasiswa yang sudah memiliki dasar sebelumnya,Negatif,Pengantar Informatika
bagian perhitungan,Positif,Sistem Operasi
kurang paham bagian materi,Negatif,Sistem Operasi
ketika belajar pengukuran data,Positif,Statistika dan Probabilitas
kendalanya kurang memahami di pelajaran peluang,Negatif,Statistika dan Probabilitas
cara belajarnya yang mudah dipahami,Positif,Algoritma Pemrograman 1
sering eror,Negatif,Algoritma Pemrograman 1
pembahasan mengenai manajemen proses dan penjadwalan yang menambah wawasan tentang cara kerja sistem,Positif,Sistem Operasi
beberapa istilah teknis cukup sulit dipahami dan membutuhkan waktu belajar tambahan,Negatif,Sistem Operasi
aku suka saat mengerjakan soal berbasis kasus,Positif,Statistika dan Probabilitas
menurut saya terlalu banyak teori dibanding praktik,Negatif,Statistika dan Probabilitas
ngoding,Positif,Algoritma Pemrograman 1
fasilitas nya kurang seperti komputer banayk yang ngak bisa di gunakan,Negatif,Algoritma Pemrograman 1
saya suka ketika materi sudah dipahami karena terasa memuaskan,Positif,Kalkulus 1
beberapa pembahasan terasa terlalu cepat dan kurang pembahasan mendalam,Negatif,Kalkulus 1
adanya tugas praktik yang membuat mahasiswa terbiasa berpikir sistematis dan memecahkan masalah,Positif,Algoritma Pemrograman 1
waktu pengerjaan tugas terkadang berdekatan dengan mata kuliah lain sehingga cukup membebani,Negatif,Algoritma Pemrograman 1
hal yang paling disukai dari mata kuliah kalkulus adalah karena melatih kemampuan berpikir logis dalam memahami konsep perubahan turunan dan integral yang berguna untuk bidang sains dan teknik,Positif,Kalkulus 1
kendala dalam mata kuliah kalkulus adalah banyaknya rumus dan konsep abstrak yang sulit dipahami jika tidak disertai latihan dan penjelasan yang jelas,Negatif,Kalkulus 1
materi yang ringan dan mudah dipahami sehingga cocok untuk mahasiswa baru,Positif,Pengantar Informatika
beberapa topik terasa terlalu umum dan kurang mendalam,Negatif,Pengantar Informatika
tentang penjelasan yg mudah di pahami,Positif,Sistem Operasi
saya rasa ada,Negatif,Sistem Operasi
selain karna materi nya hanya pengulangan dari sma saya suka materi ini karna dosennya yang asik dan penyampaian materinya mudah untuk dipahami,Positif,Statistika dan Probabilitas
untuk saat ini menurut saya tidak ada kendala dari materi ini,Negatif,Statistika dan Probabilitas
materi pengenalan teknologi dan konsep dasar yang mudah dipahami serta relevan dengan kehidupan sehari hari,Positif,Pengantar Informatika
beberapa materi terasa terlalu teoritis dan kurang praktik langsung,Negatif,Pengantar Informatika
contoh soal yang berkaitan dengan kasus nyata membuat materi lebih mudah dipahami,Positif,Statistika dan Probabilitas
perhitungan yang cukup panjang terkadang membuat proses belajar terasa melelahkan,Negatif,Statistika dan Probabilitas
saya suka karena materinya tidak terlalu berat,Positif,Pengantar Informatika
enurut saya kurang menantang,Negatif,Pengantar Informatika
ku suka bagian peluang karena contohnya bisa dikaitkan dengan kehidupan sehari hari,Positif,Statistika dan Probabilitas
menurut saya perhitungannya kadang cukup panjang dan bikin cepat lelah,Negatif,Statistika dan Probabilitas
praktik coding secara langsung yang membantu memahami konsep percabangan perulangan dan fungsi,Positif,Algoritma Pemrograman 1
bagi pemula materi terasa sulit karena membutuhkan latihan yang konsisten di luar jam kuliah,Negatif,Algoritma Pemrograman 1
aku suka bagian yang membahas perkembangan teknologi karena cukup membuka wawasan,Positif,Pengantar Informatika
menurut saya pembahasannya terlalu umum dan banyak teori yang bisa dibaca sendiri,Negatif,Pengantar Informatika
aku suka saat berhasil memahami materi,Positif,Kalkulus 1
soalnya cukup sulit dan membutuhkan waktu lama untuk dikerjakan,Negatif,Kalkulus 1
aku suka materi tentang proses dan memori karena jadi lebih paham bagaimana sistem berjalan,Positif,Sistem Operasi
menurut saya beberapa istilah agak sulit dipahami di awal,Negatif,Sistem Operasi
mudah dipahami,Positif,Pengantar Informatika
terlalu monoton,Negatif,Pengantar Informatika
perhitungan,Positif,Statistika dan Probabilitas
materinya sering terasa abstrak dan perhitungannya cukup rumit sehingga butuh penjelasan yang lebih sederhana dan lebih banyak contoh praktik,Negatif,Statistika dan Probabilitas
menghitung,Positif,Sistem Operasi
tidak ada,Negatif,Sistem Operasi
materi tentang pengolahan data dan cara menghitung ukuran pemusatan yang mudah dipahami,Positif,Statistika dan Probabilitas
beberapa bagian seperti distribusi peluang cukup sulit dipahami tanpa contoh tambahan,Negatif,Statistika dan Probabilitas
materi,Positif,Pengantar Informatika
bagian perhitungan perlu dijelaskan,Negatif,Pengantar Informatika
selama ini belum di temukan,Positif,Kalkulus 1
kendalanya karena belajar nya secara daring dan saya tidak bisa memahami pelajaran matematika melalui daring,Negatif,Kalkulus 1
cara belajarnya yang diberikan contoh dan dijelaskan darimana datangnya,Positif,Statistika dan Probabilitas
angka yang besar jika pake hitungan manual agak lambat,Negatif,Statistika dan Probabilitas
latihan soal yang membantu memahami konsep peluang dan distribusi secara bertahap,Positif,Statistika dan Probabilitas
perhitungan yang cukup panjang terkadang membuat mahasiswa kurang fokus,Negatif,Statistika dan Probabilitas
aku suka ketika membahas cara kerja cpu dalam komputer dan virtual machine,Positif,Sistem Operasi
beberapa istilah sulit dipahami bagi mahasiswa yang belum kuat dasarnya,Negatif,Sistem Operasi
pelajarannya,Positif,Sistem Operasi
belum ada,Negatif,Sistem Operasi
aku suka bagian distribusi dan peluang karena mudah,Positif,Statistika dan Probabilitas
perhitungannya cukup panjang dan membingungkan jika kurang latihan soal,Negatif,Statistika dan Probabilitas
materinya ringan sehingga cocok sebagai pengenalan untuk mahasiswa baru,Positif,Pengantar Informatika
beberapa kegiatan perkuliahan terasa monoton karena lebih banyak mendengarkan penjelasan,Negatif,Pengantar Informatika
hal yang paling disukai dari mata kuliah statistika dan probabilitas adalah karena membantu memahami cara menganalisis data serta mempelajari peluang kejadian yang sering digunakan dalam penelitian dan kehidupan sehari hari,Positif,Statistika dan Probabilitas
kendala dalam mata kuliah statistika dan probabilitas adalah perhitungan yang cukup rumit serta konsep peluang yang kadang membingungkan tanpa contoh penerapan nyata,Negatif,Statistika dan Probabilitas
praktik langsung membuat program sederhana yang melatih kemampuan problem solving,Positif,Algoritma Pemrograman 1
tugas yang cukup sering membuat mahasiswa harus mengatur waktu dengan baik,Negatif,Algoritma Pemrograman 1
mungkin agak sedikit mudah,Positif,Kalkulus 1
penjelasannya yang kurang,Negatif,Kalkulus 1
untuk saat ini tidak ada hal yang kami sukai dari mata kuliah ini,Positif,Kalkulus 1
kekurangan mata kuliah ini karna dilaksanakan secara online hanya kali pertemuan pembelajaran dan kali pertemuan untuk pelaksanaan ujian,Negatif,Kalkulus 1
latihan soal yang membantu memahami konsep turunan dan integral secara bertahap,Positif,Kalkulus 1
penjelasan beberapa materi terasa terlalu cepat sehingga sulit diikuti,Negatif,Kalkulus 1
tugas proyek yang melatih kreativitas dalam membuat program sederhana,Positif,Algoritma Pemrograman 1
beberapa mahasiswa kesulitan mengikuti ritme praktikum karena perbedaan kemampuan dasar,Negatif,Algoritma Pemrograman 1
materinya cukup menantang,Positif,Statistika dan Probabilitas
otak saya lemah dengan angka,Negatif,Statistika dan Probabilitas
aku suka saat berhasil menyelesaikan soal karena terasa menantang,Positif,Kalkulus 1
menurut saya beberapa materi butuh penjelasan berulang supaya benar benar paham,Negatif,Kalkulus 1
penjelasan mengenai perkembangan teknologi dan peran informatika dalam kehidupan sehari hari,Positif,Pengantar Informatika
metode pembelajaran lebih banyak teori sehingga terasa kurang interaktif,Negatif,Pengantar Informatika
aku suka ketika membahas bagaimana proses berjalan dan bagaimana sistem mengatur sumber daya,Positif,Sistem Operasi
beberapa materi terasa abstrak dan sulit dibayangkan tanpa praktik langsung,Negatif,Sistem Operasi
suka topik tentang keamanan sistem,Positif,Sistem Operasi
materinya terasa terlalu teori dan padat,Negatif,Sistem Operasi
aku suka karena materinya mudah dipahami dan tidak terlalu berat,Positif,Pengantar Informatika
menurut saya beberapa pertemuan terasa agak monoton karena lebih banyak teori,Negatif,Pengantar Informatika
mempelajari tentang sistem sistem yang ada pada komputer,Positif,Sistem Operasi
kadang dosen berkendala untuk masuk,Negatif,Sistem Operasi
materinya praktis dan membuka pemahaman tentang cara kerja komputer secara nyata seperti manajemen proses memori dan sistem file,Positif,Sistem Operasi
materinya cukup teknis dan abstrak sehingga tanpa praktik langsung atau contoh nyata beberapa konsep jadi sulit dipahami,Negatif,Sistem Operasi
baik,Positif,Sistem Operasi
tidak ada,Negatif,Sistem Operasi
latihan soal yang beragam membantu memahami konsep limit dan turunan secara lebih mendalam,Positif,Kalkulus 1
penyampaian materi terkadang terlalu cepat sehingga sulit mengikuti pembahasan,Negatif,Kalkulus 1
ngk ad,Positif,Kalkulus 1
kurang mengerti,Negatif,Kalkulus 1
karena belajar pengodingan,Positif,Algoritma Pemrograman 1
kendalanya jarang pertemuan offline,Negatif,Algoritma Pemrograman 1
cara penyampaiannya,Positif,Pengantar Informatika
kurang mengerti apa dibagian perhitungan,Negatif,Pengantar Informatika
pembahasan tentang limit dan turunan yang melatih kemampuan berpikir logis,Positif,Kalkulus 1
materi terasa padat sehingga perlu waktu belajar mandiri yang lebih banyak,Negatif,Kalkulus 1
uka latihan logika yang menantang dan codingnya tanpa error,Positif,Algoritma Pemrograman 1
kadang merasa tertinggal jika tidak langsung paham di awal,Negatif,Algoritma Pemrograman 1
materi nya,Positif,Pengantar Informatika
tidak ada,Negatif,Pengantar Informatika
aku suka pembahasan tentang manajemen memori dan file system,Positif,Sistem Operasi
materi terasa padat dan sulit jika tidak belajar mandiri,Negatif,Sistem Operasi
latihan soal yang beragam membantu meningkatkan kemampuan berhitung,Positif,Kalkulus 1
beban tugas cukup banyak sehingga membutuhkan waktu belajar yang lebih panjang,Negatif,Kalkulus 1
hal yang paling disukai dari mata kuliah algoritma dan pemrograman adalah karena dapat melatih pola pikir terstruktur dan memungkinkan mahasiswa membuat program atau solusi nyata melalui coding,Positif,Algoritma Pemrograman 1
kendala dalam mata kuliah algoritma dan pemrograman adalah mahasiswa sering kesulitan di awal dalam memahami logika dasar dan error saat praktik coding sehingga butuh banyak latihan,Negatif,Algoritma Pemrograman 1
latihan soal yang membantu memahami konsep dasar secara bertahap,Positif,Kalkulus 1
beberapa mahasiswa membutuhkan waktu lebih lama untuk memahami materi tertentu,Negatif,Kalkulus 1
penjelasannya yang sangat mudah di pahami,Positif,Statistika dan Probabilitas
ngak ada,Negatif,Statistika dan Probabilitas
hal yang saya suka yaitu coding dan flowchart saya suka hal itu tetapi saya tidak terlalu paham dengan materi itu,Positif,Algoritma Pemrograman 1
kekurangan dari materi ini mungkin karna materi ini sering tidak dilaksanakan karna hal dari dosen pengampu matkul ini,Negatif,Algoritma Pemrograman 1
materi tentang peluang dan distribusi yang aplikatif dalam pengolahan data,Positif,Statistika dan Probabilitas
beberapa rumus cukup kompleks dan membutuhkan penjelasan yang lebih detail,Negatif,Statistika dan Probabilitas
materi yang ringan membuat mahasiswa lebih mudah beradaptasi di awal perkuliahan,Positif,Pengantar Informatika
sebagian tugas terasa kurang menantang bagi mahasiswa yang sudah memiliki pengalaman sebelumnya,Negatif,Pengantar Informatika
pembahasan soal dilakukan secara detail,Positif,Kalkulus 1
materinya cukup padat dan kadang sulit mengikuti,Negatif,Kalkulus 1
aku suka saat berhasil menjalankan program yang sudah dibuat sendiri,Positif,Algoritma Pemrograman 1
menurut saya kalau tidak sering latihan materi jadi cepat lupa,Negatif,Algoritma Pemrograman 1
materi tentang manajemen proses dan memori yang menambah pemahaman tentang cara kerja komputer,Positif,Sistem Operasi
beberapa konsep cukup abstrak dan sulit dipahami tanpa ilustrasi atau simulasi,Negatif,Sistem Operasi
saya suka saat berhasil menyelesaikan program meskipun awalnya banyak error,Positif,Algoritma Pemrograman 1
tugasnya menurut saya cukup sering dan kadang membuat stres,Negatif,Algoritma Pemrograman 1
berhubungan dengan gambar dan visual d maupun d,Positif,Grafika Komputer
agak ribet menggunakan softwarenya,Negatif,Grafika Komputer
aku paling suka waktu praktek karena kelihatan langsung hasilnya,Positif,Grafika Komputer
jujur menurut saya cukup sulit di bagian perhitungannya apalagi kalau belum paham konsep matematikanya,Negatif,Grafika Komputer
waktu bahas optimasi query dan normalisasi lanjutan karena terasa lebih mendalam,Positif,Database 2
penjelasan tentang beberapa materi kadang terlalu cepat jadi agak sulit dipahami,Negatif,Database 2
suka ketika dosennya menjelaskan langkah langkah penyelesaian soal secara detail jadi lebih mudah diikuti,Positif,Kalkulus 2
penjelasan kadang cukup cepat jadi kalau sekali tidak paham bisa langsung tertinggal,Negatif,Kalkulus 2
seru waktu sudah paham pola pengerjaan soal jadi terasa lebih gampang,Positif,Kalkulus 2
kalau ketinggalan satu konsep dasar materi berikutnya jadi ikut susah,Negatif,Kalkulus 2
bagian praktiknya cukup menarik apalagi saat belajar mengelola data dalam skala besar,Positif,Database 2
materinya lumayan padat dan butuh fokus ekstra kalau kurang latihan gampang bingung jadinya,Negatif,Database 2
yang saya sukai dari mata kuliah ini adalah karena materinya berhubungan langsung dengan visual dan desain sehingga terasa lebih menarik dan tidak hanya berfokus pada logika atau perhitungan saja,Positif,Grafika Komputer
kendala yang saya rasakan adalah adanya perhitungan matematis yang cukup kompleks terutama pada bagian transformasi dan koordinat,Negatif,Grafika Komputer
konsep integral digunakan untuk menyelesaikan masalah nyata,Positif,Kalkulus 2
kendalanya adalah banyaknya rumus dan teknik perhitungan yang harus diingat,Negatif,Kalkulus 2
membahas komponen komputer dan cara kerjanya jadi lebih paham sistem dari dasar,Positif,Arsitektur dan Organisasi Komputer
materinya cukup teknis dan kadang sulit dibayangkan kalau cuma teori,Negatif,Arsitektur dan Organisasi Komputer
proses perancangan sistem seperti membuat use case diagram atau alur sistem karena membantu memahami bagaimana sebuah aplikasi dibangun dari tahap awal,Positif,Rekayasa Perangkat Lunak 1
banyaknya dokumen yang harus dibuat sehingga terasa cukup teoritis dan memakan waktu terutama jika belum langsung diimplementasikan ke bentuk aplikasi,Negatif,Rekayasa Perangkat Lunak 1
suka waktu belajar tentang pengolahan gambar,Positif,Sistem Multimedia
praktiknya masih kurang,Negatif,Sistem Multimedia
logikanya karena masih bisa dipahami dengan contoh sehari hari,Positif,Matematika Diskrit 1
beberapa materi yang terasa cukup rumit kalau penjelasannya terlalu cepat,Negatif,Matematika Diskrit 1
suka bagian analisis kebutuhan karena terasa seperti mengerjakan proyek nyata,Positif,Rekayasa Perangkat Lunak 1
tugasnya cukup detail dan butuh waktu lama apalagi kalau dikerjakan dalam tim yang kurang kompak,Negatif,Rekayasa Perangkat Lunak 1
suka saat praktik membuat atau mengedit media digital karena terasa lebih kreatif,Positif,Sistem Multimedia
dosennya tidak seuai skill nya dengan matakuliah ini,Negatif,Sistem Multimedia
karena di sini terasa lebih real case seperti yang digunakan dalam sistem perusahaan,Positif,Database 2
perlu ketelitian tinggi namun justru melatih logika dan ketelitian dalam pengelolaan data,Negatif,Database 2
menjawab pertanyaan,Positif,Rekayasa Perangkat Lunak 1
cara dosen dalam menyampaikan kurang menarik sehingga saat pembelajaran berlangsung saya jadi kurang fokus dengan matakuliah yang di sampaikan,Negatif,Rekayasa Perangkat Lunak 1
suka bagian praktik sql karena bisa langsung melihat hasilnya,Positif,Database 1
waktu praktikum terasa agak singkat dan kadang error,Negatif,Database 1
saya suka waktu berhasil mengimplementasikan struktur data seperti stack atau linked list rasanya puas,Positif,Struktur Data
menurut saya beberapa materi terasa cukup cepat jadi kalau tidak langsung paham bisa tertinggal,Negatif,Struktur Data
suka waktu belajar gerbang logika karena jadi paham dasar cara kerja sistem,Positif,Sistem Digital
beberapa soal cukup rumit dan butuh ketelitian,Negatif,Sistem Digital
penyampaian dosen yang menyenangkan,Positif,Interaksi Manusia-Komputer
konsep teori tentang prinsip desain dan evaluasi antarmuka cukup banyak sehingga perlu waktu lebih untuk memahami dan mengingat istilah istilahnya,Negatif,Interaksi Manusia-Komputer
suka cara dosennya menjelaskan dengan santai tapi tetap jelas jadi suasana kelas nyaman,Positif,Komputer dan Masyarakat
materinya kadang terasa terlalu umum dan terlalu teori,Negatif,Komputer dan Masyarakat
mengenal materi yang belum pernah dipelajari,Positif,Sistem Multimedia
penggunaan software yang agak susah dipahami karena baru pertama kali,Negatif,Sistem Multimedia
aku suka diskusi tentang etika dan perkembangan teknologi di masyarakat jadi bisa sharing pendapat,Positif,Komputer dan Masyarakat
kadang materinya terasa terlalu umum dan mirip pembahasan di seminar seminar,Negatif,Komputer dan Masyarakat
suka dengan cara dosen menjelaskan dan menyampaikan materi dikelas,Positif,Interaksi Manusia-Komputer
kadang pembahasannya terlalu teori dan kurang contoh aplikasi nyata,Negatif,Interaksi Manusia-Komputer
dosennya sering memberi contoh kasus nyata dalam pemrograman jadi lebih mudah dipahami,Positif,Algoritma Pemrograman 2
tugas proyeknya cukup berat dan butuh waktu lama untuk dikerjakan,Negatif,Algoritma Pemrograman 2
bagian logika cukup menarik karena kepakai juga di dunia programming,Positif,Matematika Diskrit 1
pembuktian kadang bikin mikir lama karena harus runtut dan nggak boleh lompat langkah,Negatif,Matematika Diskrit 1
seru waktu membahas cpu memori dan bagaimana instruksi diproses jadi lebih paham isi dalam komputer,Positif,Arsitektur dan Organisasi Komputer
beberapa topik terasa cukup rumit dan butuh waktu untuk benar benar paham,Negatif,Arsitektur dan Organisasi Komputer
yang saya sukai dari mata kuliah ini adalah materinya dekat dengan kehidupan sehari hari sehingga mudah dipahami dan relevan dengan kondisi saat ini mata kuliah ini juga membuka wawasan tentang pentingnya etika dalam penggunaan teknologi serta tanggung jawab sebagai pengguna,Positif,Komputer dan Masyarakat
kendala yang saya rasakan adalah beberapa materi terasa cukup teoritis dan berbentuk diskusi konsep sehingga terkadang terasa monoton jika tidak disertai contoh kasus nyata,Negatif,Komputer dan Masyarakat
materi tersebut membantu saya memahami cara kerja algoritma secara lebih terstruktur,Positif,Matematika Diskrit 1
beberapa materi terutama pembuktian matematis terasa cukup berat dan memerlukan konsentrasi tinggi jika tidak dijelaskan dengan contoh yang jelas materi bisa terasa abstrak,Negatif,Matematika Diskrit 1
waktu belajar tentang array stack dan queue karena terasa langsung dipakai di coding,Positif,Struktur Data
beberapa materi seperti tree dan graph cukup sulit dipahami kalau kurang latihan,Negatif,Struktur Data
berhubungan dengan desain tampilan aplikasi,Positif,Interaksi Manusia-Komputer
agak sulit dikerjakan,Negatif,Interaksi Manusia-Komputer
suka diskusi tentang dampak teknologi di kehidupan sosial,Positif,Komputer dan Masyarakat
kadang materinya terasa berulang dan tidak terlalu dalam,Negatif,Komputer dan Masyarakat
belajar struktur kontrol yang lebih kompleks dan latihan problem solving,Positif,Algoritma Pemrograman 2
kadang kalau tertinggal satu materi jadi sulit mengikuti materi berikutnya,Negatif,Algoritma Pemrograman 2
kurang suka,Positif,Sistem Multimedia
praktiknya masih kurang jelas penjelasannya,Negatif,Sistem Multimedia
meski aak sulit tapi dosen bisa menjelasakn dengan sederhana,Positif,Sistem Digital
terkadang pelajarannya cukup sulit dimengerti karena ada perhitungan yang tidak biasa,Negatif,Sistem Digital
karena terasa seperti membangun fondasi sistem,Positif,Database 1
normalisasi kadang membingungkan dan salah desain tabel bisa berdampak besar,Negatif,Database 1
praktek bikin ani masih di macro media,Positif,Sistem Multimedia
adapun kendalanya kalau mau mendownload apk macro agak susah,Negatif,Sistem Multimedia
pembahasan soal dilakukan langkah demi langkah,Positif,Kalkulus 2
materi cukup cepat disampaikan jadi agak susah mengikuti,Negatif,Kalkulus 2
menantang tapi seru,Positif,Matematika Diskrit 1
butuh penjelasan berulang,Negatif,Matematika Diskrit 1
suka bagian implementasi struktur data karena terasa aplikatif,Positif,Struktur Data
ada beberapa materi yang kurang jelas penyampaiannya,Negatif,Struktur Data
materi tentang cara kerja komponen komputer dan proses eksekusi instruksi karena menambah wawasan tentang bagaimana komputer bekerja secara internal,Positif,Arsitektur dan Organisasi Komputer
beberapa bagian materi cukup teknis dan abstrak terutama yang berkaitan dengan representasi data logika digital dan struktur instruksi mesin,Negatif,Arsitektur dan Organisasi Komputer
dosennya ontime disiplin dan sabar dalam menjelaskan materi yang cukup rumit,Positif,Arsitektur dan Organisasi Komputer
materi cukup berat apalagi yang berhubungan dengan proses internal komputer,Negatif,Arsitektur dan Organisasi Komputer
sering libur,Positif,Database 1
saat pelajaran databse ini dosen sering libur jadi ga nyambung materinya sehingga kesulitan saat semester berikutnya,Negatif,Database 1
aku suka bagian evaluasi ui ux karena jadi lebih sadar pentingnya pengalaman pengguna,Positif,Interaksi Manusia-Komputer
kadang tugas cukup detail dan butuh waktu lama,Negatif,Interaksi Manusia-Komputer
pelajarannya menantang dan mengasah logika,Positif,Sistem Digital
soal soalnya cukup rumit dan butuh ketelitian tinggi,Negatif,Sistem Digital
suka cara dosennya menjelaskan query sql dengan contoh langsung jadi lebih mudah dipraktikkan,Positif,Database 1
waktu praktikum kadang terasa kurang untuk mencoba semua latihan,Negatif,Database 1
waktu belajar konversi bilangan dan rangkaian logika jadi lebih paham dasar kerja komputer,Positif,Sistem Digital
salah satu angka saja bisa bikin hasil akhirnya beda jauh jadi harus benar benar fokus,Negatif,Sistem Digital
namanya keren rpl,Positif,Rekayasa Perangkat Lunak 1
dosennya tidak pandai menjelaskan dan tidak paham,Negatif,Rekayasa Perangkat Lunak 1
yang saya sukai dari mata kuliah ini adalah bagaimana konsep matematika bisa langsung diterapkan dalam dunia komputer,Positif,Matematika Diskrit 1
kendala yang saya rasakan adalah tingkat kesulitan materinya cukup tinggi terutama pada bagian pembuktian dan perhitungan,Negatif,Matematika Diskrit 1
bagian praktik coding karena di mata kuliah ini saya bisa langsung mengimplementasikan algoritma yang dipelajari,Positif,Algoritma Pemrograman 2
tingkat kesulitan soal yang meningkat cukup signifikan dibandingkan mata kuliah pemrograman dasar,Negatif,Algoritma Pemrograman 2
tugas analisis kebutuhan karena terasa seperti proyek nyata,Positif,Rekayasa Perangkat Lunak 1
penyampaian dosen kurang menarik,Negatif,Rekayasa Perangkat Lunak 1
bagian praktik atau simulasi rangkaian digital,Positif,Sistem Digital
banyaknya perhitungan logika dan tabel kebenaran yang cukup rumit,Negatif,Sistem Digital
suka waktu membahas komponen komputer dan cara kerjanya,Positif,Arsitektur dan Organisasi Komputer
ada materi yang sulit dibayangkan,Negatif,Arsitektur dan Organisasi Komputer
aku suka bagian praktik sql karena bisa langsung lihat hasilnya,Positif,Database 1
menurut saya waktu praktikum kadang terasa kurang karena kadang error,Negatif,Database 1
ketika melihat hasil gambar yang dibuat dari proses perhitungan terasa unik,Positif,Grafika Komputer
ada materi terasa rumit dan butuh penjelasan berulang supaya benar benar paham,Negatif,Grafika Komputer
pelajrannya menantang walau aak sulit,Positif,Struktur Data
materi agak sulit karena tidak terbiasa ngoding,Negatif,Struktur Data
karena membuat saya lebih memahami apa yang terjadi di balik layar saat menjalankan program,Positif,Arsitektur dan Organisasi Komputer
banyak konsep teknis dan detail,Negatif,Arsitektur dan Organisasi Komputer
materi integral lipat,Positif,Kalkulus 2
karna ada beberapa materi tidak nyambung dengan kalkulus satu jadi agak buat binggung sedikit,Negatif,Kalkulus 2
suka ketika praktiknya,Positif,Algoritma Pemrograman 2
tugasnya yang sulit,Negatif,Algoritma Pemrograman 2
saya suka saat dosennya membahas soal secara runtut jadi lebih mudah diikuti,Positif,Kalkulus 2
menurut saya kalau tidak rajin latihan materi jadi cepat lupa,Negatif,Kalkulus 2
suka waktu belajar,Positif,Database 2
materinya agak sulit ketika masuk ke praktek,Negatif,Database 2
diskusi tentang isu isu teknologi di masyarakat karena berkaitan langsung dengan kehidupan sehari hari dan perkembangan zaman,Positif,Komputer dan Masyarakat
materi yang bersifat teori terkadang terasa berulang dan kurang menantang,Negatif,Komputer dan Masyarakat
suka gaya mengajar dosennya yang sabar jelas dan tidak pelit nilai jadi mahasiswa lebih semangat,Positif,Interaksi Manusia-Komputer
kadang banyak tugas hehe,Negatif,Interaksi Manusia-Komputer
