teks,label,matkul
yang saya suka adalah pratikumnya dan saya kesulitan untuk memahami codenya dengan pratikum saya lebih mudah memahaminya walaupun dapatnya dikit tapi saya percaya perubahan bisa menghasilkan hal besar,Positif,Web Desain
kendalanya adalah waktu pratikum yang terbatas otak saya lemot jika teman saya bisa memahami materi dalam satu jam maka saya butuh jam buat memahami materinya,Negatif,Web Desain
saya senang praktik analisis data karena terasa seperti mengerjakan kasus nyata,Positif,Pengantar Data Science
kendala saya adalah beberapa materi cukup cepat disampaikan jadi butuh belajar mandiri lebih banyak,Negatif,Pengantar Data Science
belajar bikin dokumen requirement dan diagram itu terasa seperti simulasi kerja di perusahaan,Positif,Rekayasa Perangkat Lunak 2
tugasnya cukup banyak dan detail jadi lumayan menguras waktu,Negatif,Rekayasa Perangkat Lunak 2
menarik ketika praktik membuat fitur website karena terasa seperti membuat aplikasi sungguhan,Positif,Web Programming
tugas proyeknya cukup banyak dan kadang waktunya terasa mepet,Negatif,Web Programming
bagian perancangan sistem kontrol itu seru karena harus mikir runtut dari input sampai output,Positif,Sistem Otomasi
kalau salah di perhitungan atau logika awal efeknya bisa ke seluruh sistem jadi memang harus teliti bange,Negatif,Sistem Otomasi
waktu dosen masuk tugas langsung dikasih tanpa penjelasan detail jadi lebih sering belajar sendiri daripada dibimbing,Positif,Pengantar Data Science
materi nggak dijelasin secara runtut jadi banyak mahasiswa bingung konsep dasarnya,Negatif,Pengantar Data Science
waktu ngebahas integrasi antar device jadi kebayang gimana sistem smart home atau monitoring jarak jauh itu dibuat,Positif,Pengantar IoT
kalau cuma bahas konsep tanpa banyak uji coba alat rasanya kurang greget,Negatif,Pengantar IoT
penjelasan metode kurang mendalam jadi harus cari referensi tambahan,Positif,Sistem Pengambilan Keputusan
tugas ada tapi tanpa pembahasan yang cukup bikin mahasiswa ragu apakah cara yang dipakai sudah benar,Negatif,Sistem Pengambilan Keputusan
saya suka topiknya karena berhubungan langsung dengan teknologi yang dipakai di dunia kerja,Positif,Cloud Computing
menurut saya dosennya jarang masuk dan materi yang diberikan juga tidak terlalu banyak jadi banyak belajar sendiri dan tidak terasa manfaat belajar dikelas,Negatif,Cloud Computing
materinya menarik,Positif,Cloud Computing
dosen jarang masuk sehingga materi tidak seluruhnya sampai ke mahasiswa,Negatif,Cloud Computing
materinya menarik,Positif,Jaringan Komputer
kurang praktiknya dosen juga jarang masuk,Negatif,Jaringan Komputer
bagian praktik sensor itu seru apalagi pas alatnya benar benar jalan sesuai program,Positif,Pengantar IoT
praktiknya terasa kurang maksimal,Negatif,Pengantar IoT
waktu praktik clustering atau klasifikasi terasa banget kaitannya sama data science,Positif,Data Mining
rumus dan proses perhitungannya lumayan bikin pusing kalau nggak dipelajari pelan pelan,Negatif,Data Mining
suka karena kelasnya terasa santai dan dosennya nggak terlalu menekan jadi nyaman,Positif,Web Desain
komputer labornya kurang nyaman lebih nyaman pake laptop pribadi,Negatif,Web Desain
materi dipelajari dapat memberikan pemahaman tentang konsep dasar kecerdasan buatan dan penerapannya dalam kehidupan nyata,Positif,Kecerdasan Buatan
materi yang banyak dan beberapa materi cukup kompleks sehingga membutuhkan penjelasan lebih mendalam dan contoh yang lebih sederhana agar mudah dipahami,Negatif,Kecerdasan Buatan
bagian machine learning dan logika pencarian algoritma itu paling seru karena terasa canggih,Positif,Kecerdasan Buatan
rumus dan konsep matematikanya cukup dalam jadi kalau dasar kurang kuat bisa keteteran,Negatif,Kecerdasan Buatan
kurang suka karena tentang data dan hitung hitung,Positif,Analisis Big Data
saya lemah diperhitungan jadi rasa saya ini sulit dipahami,Negatif,Analisis Big Data
bagian perancangan cukup menarik karena terasa aplikati,Positif,Sistem Otomasi
materinya lumayan kompleks apalagi kalau dasar logika dan perhitungannya belum kuat,Negatif,Sistem Otomasi
materinya menarik,Positif,Jaringan Komputer
sayngnya dosen jarang masuk,Negatif,Jaringan Komputer
paling suka waktu dosennya jelasin sambil praktik langsung jadi nggak cuma teori tapi benar benar lihat prosesnya,Positif,Web Programming
kadang suasana kelas kurang kondusif karena komputer lab nggak semuanya lancar jadi ada yang tertinggal selain itu kalau dosen jelasin terlalu cepat langsung ketinggalan jauh,Negatif,Web Programming
senang dengan tantangan dalam codingan dan saya tertarik untuk belajar programming,Positif,Web Programming
penyampaian dosen dikelas kurang maksimal,Negatif,Web Programming
tidak terlalu suka karena ga terlalu paham,Positif,Teori Bahasa dan Automata
materinya terlalu teoritis dan kadang bikin cepat bosan kalau cuma dengar penjelasan ditambah dosennya jarang masuk,Negatif,Teori Bahasa dan Automata
dosennya sering memberikan contoh proyek nyata jadi lebih kebayang alur pengembangan aplikasi,Positif,Rekayasa Perangkat Lunak 2
penjelasan dosen terkadang tidak nyambung dengan materi atau dosennya kurang paham sama materi yang disampaikan,Negatif,Rekayasa Perangkat Lunak 2
yang saya suka itu pratikumnya apalagi pas pratikum saya berhasil membuatkan project yang diminta itu ada rasa senang tersendiri sih buat saya,Positif,Pengantar IoT
alat pratikumnya sih yang kurang bervariasi jadi pratikumnya cuma buat itu aja tapi kalau saya disuruh buat project dengan alat yang ada saya juga kurang ngerti hehe terkadang gw heran liat orang mereka kalau dikasih project minggu selesai saya butuh bulan buat menyelesaikanya emang harus belajar lebih keras sih solusinya,Negatif,Pengantar IoT
belajar algoritma klasifikasi dan clustering karena terasa menyenangkan dan menantang,Positif,Data Mining
beberapa konsep algoritma cukup sulit dipahami tanpa contoh yang lebih sederhana,Negatif,Data Mining
unik aja walaupun ga paham,Positif,Teori Bahasa dan Automata
susah dipahami materinya terlebih dosen sering ga masuk,Negatif,Teori Bahasa dan Automata
karena bisa mengekspresikan ide sendiri,Positif,Web Desain
menurut saya referensi desain yang diberikan masih terbatas,Negatif,Web Desain
topiknya itu cukup bikin penasaran,Positif,Pengantar IoT
kadang materinya terasa terlalu umum dan kurang mendalam,Negatif,Pengantar IoT
seru dan suka merangkai rangkai alatnya,Positif,Sistem Otomasi
tugas sering kelompok karena kurang alat di labor,Negatif,Sistem Otomasi
topik tentang cara mesin belajar dari data itu bikin penasaran dan terasa relevan banget sama perkembangan zaman,Positif,Kecerdasan Buatan
beberapa penjelasan terasa terlalu cepat jadi harus belajar ulang sendiri di luar kelas,Negatif,Kecerdasan Buatan
penyampaian materi terasa kurang maksimal kadang terasa seperti belajar mandiri,Positif,Sistem Pakar
tnpa penjelasan detail sulit memahami bagaimana membangun rule base yang benar,Negatif,Sistem Pakar
saya suka waktu bahas contoh penerapan sistem pakar di bidang kesehatan soalnya menarik,Positif,Sistem Pakar
menurut saya karena dosennya sama seperti di cloud perkuliahan jadi kurang maksimal dan penjelasan materi terasa kurang lengkap,Negatif,Sistem Pakar
dosen baik dalam mengajar dan sabar jarang marah,Positif,Sistem Otomasi
saya sulit untuk paham karena memang kapasitas otak begini,Negatif,Sistem Otomasi
seru dan menyenangkan,Positif,Pengantar IoT
kadang ada error tapi bisa diatasi,Negatif,Pengantar IoT
waktu belajar deployment dan tahu cara kerja server virtual rasanya jadi lebih paham dunia backend,Positif,Cloud Computing
dosen jarang masuk padahal materinya penting,Negatif,Cloud Computing
bagian perhitungan metode seperti ahp atau saw karena bisa langsung dipakai buat studi kasus,Positif,Sistem Pengambilan Keputusan
kalau cuma hitung manual terus lama lama terasa monoton,Negatif,Sistem Pengambilan Keputusan
waktu membahas contoh penerapan iot di kehidupan nyata itu bikin makin tertarik,Positif,Pengantar IoT
praktik perangkatnya masih terbatas jadi terasa kurang puas,Negatif,Pengantar IoT
praktik pembuatan website secara langsung membantu mahasiswa memahami konsep html css dan juga laravel,Positif,Web Programming
waktu praktik terasa kurang sehingga belum semua materi dapat dipahami secara maksimal oleh mahasiswa,Negatif,Web Programming
bagian pengerjaan project kelompok cukup melatih kerja sama dan komunikasi,Positif,Rekayasa Perangkat Lunak 2
koordinasi tim kadang nggak selalu lancar dan dosen juga tidak aktif menjelaskan,Negatif,Rekayasa Perangkat Lunak 2
paham dengan materi,Positif,Pengantar Data Science
agak sulit dan susah masuk materinya,Negatif,Pengantar Data Science
praktiknya membantu pemahaman materi,Positif,Jaringan Komputer
jarang teori jarang praktek dosen juga jarang masuk,Negatif,Jaringan Komputer
kurang suka,Positif,Teori Bahasa dan Automata
semoga untuk berikutnya bisa lebih dipeehatikan lagi untuk dosen pengampu matkul ini kalo bisa ganti saja dosennya,Negatif,Teori Bahasa dan Automata
senang karena dosennya cukup terbuka dengan ide ide mahasiswa dan nggak terlalu kaku soal kreativitas,Positif,Web Desain
bingung cari reerensi desainnya,Negatif,Web Desain
materinya bikin nagih untuk terus dipelajari,Positif,Analisis Big Data
tugasnya sering disamain sama data science,Negatif,Analisis Big Data
materinya menarik,Positif,Sistem Pengambilan Keputusan
dosen jarang masuk,Negatif,Sistem Pengambilan Keputusan
menjelaskan metode metode spk dengan contoh kasus yang mudah dipahami,Positif,Sistem Pengambilan Keputusan
beberapa perhitungan metode cukup membingungkan jika tidak dijelaskan langkah demi langkah dosen juga sering tidak masuk dan hanya memberi tugas saja,Negatif,Sistem Pengambilan Keputusan
yang saya suka dari matkul ini adalah implementasi sistemnya semester kemarin kelompok kami membuat sistem diagnosa kerusakan handphone jadi bila handphone saya ada yang rusak saya nggak perlu repot nanya ke konter hp apanya yang rusak karna saya sudah punya sistemnya jadi saya cuma inputkan gejalanya dan hasilnya kita tau apa kerusakan handphone kita tapi tetap ke konter juga sih buat memperbaikinya setidak kita tau gejalanya,Positif,Sistem Pakar
kendalanya adalah kurangnya contoh implementasi sistemnya terkadang teorinya udah benar eh pas praktik malah salah,Negatif,Sistem Pakar
saya suka karena membuat tampilan website karena bisa lebih kreatif,Positif,Web Desain
waktu praktik kadang kurang untuk menyelesaikan desain dengan maksimal dan lanjut di kos,Negatif,Web Desain
pengetahuan itu cukup menarik karena ada unsur logikanya,Positif,Sistem Pakar
kalau hanya fokus ke teori tanpa implementasi aplikasi sederhana jadi kurang terasa kegunaannya,Negatif,Sistem Pakar
belajar hal baru,Positif,Analisis Big Data
beberapa materi terasa sulit dan mengolah data yang skala besar agak pusing dan ribet,Negatif,Analisis Big Data
praktek pertama kali,Positif,Jaringan Komputer
kurang materi dan sangat kurang di praktek karena dosen arang masuk,Negatif,Jaringan Komputer
materi kurang tersampaikan dengan baik tugas sering dikasih tapi tanpa arahan yang jelas,Positif,Cloud Computing
platform cloud itu nggak gampang buat pemula jadi tanpa penjelasan detail mahasiswa gampang stuck,Negatif,Cloud Computing
mengasah logika sekaligus kreativitas,Positif,Web Desain
kadang penilaiannya terasa subjektif karena desain itu relatif mungkin,Negatif,Web Desain
tidak ada,Positif,Cloud Computing
materi yang seharusnya praktik jadi kurang terasa manfaatnya,Negatif,Cloud Computing
saya suka karena metode metodenya bisa dipakai untuk berbagai kasus,Positif,Sistem Pengambilan Keputusan
menurut saya perkuliahan kurang efektif karena dosennya jarang masuk dan materi sering dipelajari secara mandiri,Negatif,Sistem Pengambilan Keputusan
pembahasan yg menarik dan menantang,Positif,Kecerdasan Buatan
kadang tidal terlalu paham dengan beberapa perhitungan metode ai,Negatif,Kecerdasan Buatan
penyampaian dosen ketika menjelaskan,Positif,Kecerdasan Buatan
kadang kurang oaham dengan materi tertentu,Negatif,Kecerdasan Buatan
bagian perancangan alur sistem otomatis itu menantang karena harus dipikirin logikanya dari awal,Positif,Sistem Otomasi
kalau kurang contoh implementasi nyata materinya jadi seru,Negatif,Sistem Otomasi
konsep smart home dan monitoring jarak jauh cukup bikin penasaran,Positif,Pengantar IoT
masih terasa dasar banget jadi belum terlalu dalam ke sisi deepnya,Negatif,Pengantar IoT
suka saat dosen memberi contoh penerapan ai di dunia nyata,Positif,Kecerdasan Buatan
kadang penjelasan terasa cepat dan butuh waktu lebih untuk mencerna hehe,Negatif,Kecerdasan Buatan
pembahasan mengenai metode dan konsep pengambilan keputusan dalam sistem pakar sangat menarik dan menambah wawasan mahasiswa,Positif,Sistem Pakar
materi terkadang bersifat teoritis sehingga cukup sulit dipahami tanpa contoh penerapan yang jelas,Negatif,Sistem Pakar
seru waktu bikin layout dan eksplor warna serta coba coba ui,Positif,Web Desain
revisi desain bisa cukup banyak kalau belum sesuai standar,Negatif,Web Desain
sudah mulai paham teori,Positif,Data Mining
susah memahami materi,Negatif,Data Mining
seru saat berhasil membuat fitur berjalan tanpa error,Positif,Web Programming
codingnya butuh waktu lama untuk pemula sampai sakit pinggang,Negatif,Web Programming
ga begitu suka,Positif,Rekayasa Perangkat Lunak 2
dosennya sama dengan rpl penyampaiannya ga begitu luwes bikin ngantuk,Negatif,Rekayasa Perangkat Lunak 2
praktek diawal semster ang seru,Positif,Jaringan Komputer
setelah perkuliahan berjalan dosen sering tidak hadir untuk memberi materi,Negatif,Jaringan Komputer
suka dengan pelajaran hitungan,Positif,Pengantar Data Science
kalo tidak paham satu metode akan susah untuk memahami metode lain,Negatif,Pengantar Data Science
suka bagian praktik dan penjelasan tentang layanan cloud jadi lebih kebayang penggunaannya,Positif,Cloud Computing
jarang masuk dosennya dan prakteknya jarang,Negatif,Cloud Computing
menjelaskan konsep ai dengan contoh aplikasi di kehidupan nyata,Positif,Kecerdasan Buatan
terkadang ada beberapa materi yang sulit dipahami karena perhitunagnnya,Negatif,Kecerdasan Buatan
yang saya sukai adalah materinya yang menurut saya bermanfaat dan bikin penasaran tapi asik kalo dipahami,Positif,Kecakapan Antar Personal
mungkin bisa ditambahkan hal yang seru atau ice breaking biar lebih seru aja,Negatif,Kecakapan Antar Personal
saya menyukai struktur algoritma nya ternyata setiap algoritma memiliki fungsi dan tujuan yang tertentu jika prediksi maka lebih baik algoritma yang a b jika analisis sentimen berbeda lagi algoritmanya setiap algoritma memiliki ciri dan cara kerja unik masing masing nya,Positif,Statistika dengan R/Python
alhamdulillah tidak ada hanya saja perlu kehati hatian dalam analisis dan perintah yang dijalankan bisa saja perintah yang diberikan tidak sesuai dengan analisis yang diinginkan,Negatif,Statistika dengan R/Python
wawasan dan keingin tahuan saya untuk belajar coding untuk pengembangan aplikasi mobile,Positif,Manajemen Proyek
alhamdulillah tidak ada kenala mungkin kurang di saya yang masih sering telat ngumpulin tugas hehe,Negatif,Manajemen Proyek
materi yang mudah dipahami,Positif,Datawarehouse
kadang susah kalo belajar sendiri tapi setelah ada tutor di youtube jadi membantu banget,Negatif,Datawarehouse
kurang suka karena tidak terlalu minat,Positif,Etika Profesi
kadang bikin ngantuk dengarin materi terus,Negatif,Etika Profesi
pratikumnya,Positif,Datawarehouse
susah karena sering error,Negatif,Datawarehouse
yang saya sukai dari mata kuliah basis data dan sql adalah sifatnya yang praktis dan langsung bisa diterapkan setiap perintah sql yang ditulis langsung menghasilkan output sehingga proses belajarnya terasa jelas dan terstruktur,Positif,Pembelajaran Mesin
pembelajaran mesin adalah tingkat kompleksitas materinya yang cukup tinggi terutama pada bagian matematis seperti turunan probabilitas dan optimisasi beberapa algoritma juga membutuhkan pemahaman statistik yang kuat sehingga jika dasar matematikanya kurang proses memahami konsepnya bisa menjadi lebih lambat,Negatif,Pembelajaran Mesin
yang saya sukai dari mata kuliah manajemen proyek adalah karena materinya sangat aplikatif dan relevan dengan dunia kerja saya menyukai bagian penyusunan timeline proyek pembagian tugas dalam tim identifikasi risiko dan solusi pencegahannya,Positif,Technopreneurship
kendala yang saya rasakan adalah pada tahap mengembangkan ide bisnis menjadi rencana yang realistis terutama dalam menentukan target pasar yang tepat membuat analisis keuangan menyusun strategi pemasaran yang efektif selain itu karena tidak semua mahasiswa memiliki pengalaman bisnis beberapa konsep kewirausahaan terasa cukup baru dan membutuhkan waktu untuk dipahami namun hal tersebut justru menjadi pengalaman belajar yang baik untuk memahami dunia usaha secara lebih nyata,Negatif,Technopreneurship
dosen yang baik dan penyampaiannya jelas,Positif,Basisdata dan Pemrograman SQL untuk BIg Data
dosen sering tidak hadir,Negatif,Basisdata dan Pemrograman SQL untuk BIg Data
materi yang mudah dipahami,Positif,Teknologi Big Data dan Cloud Computer
kelasnya online jadi kurang efisien,Negatif,Teknologi Big Data dan Cloud Computer
dosennya baik dan sabar,Positif,Statistika dengan R/Python
sulit bagi saya untuk memahami angka apalagi angkanya di balut dengab codingan jadi double sulitnya ditambah dosen juga jarang masuk,Negatif,Statistika dengan R/Python
dosennya baik menilai dan ingin mahasiswa berkembang,Positif,Statistika dengan R/Python
untuk kendala karena kurang memahani materi itu sebab dosen jarang masuk dan sekalinya memberi materi itu tidak sesuai dengan teman,Negatif,Statistika dengan R/Python
pelajarannya sesuai dengan minat yang akan saya pilih yaitu cloud computing,Positif,Manajemen Proyek
karena kelasnya online sehingga menurut saya kurang maksimal dalam pertemuannya,Negatif,Manajemen Proyek
tidak terlalu suka,Positif,Etika Profesi
terlalu banyak materi jadi agak ngantuk,Negatif,Etika Profesi
mungkin bagian praktik query nya karna kan itu saya mencobakan dan melihat hasilnya langsung,Positif,Datawarehouse
saya butuh waktu lebih untuk memahaminya karna beberapa materi cukup sulit menurut saya,Negatif,Datawarehouse
materi dan penyampaian dosen yang mudah untuk dipahami,Positif,Pemrograman Mobile
dosen jarang masuk dan materi tidak sesuai seperti yang diharapkan,Negatif,Pemrograman Mobile
manfaat dari materinya serta proses belajar mengajar yang baik dan kondusif,Positif,Statistika dengan R/Python
dosen sering libur jarang masuk ga bakal masuk kalo ga dihubungi materi ga susesuai sama yang seharusnya dipelajar belajar pertemuan hanya pertemuan yang masuk itu pun dosen telat masuk setengan sampai satu jam tapi keluar kelasnya cepat bangetttt,Negatif,Statistika dengan R/Python
yang saya sukai adalah materinya yang menurut saya bermanfaat dan bikin penasaran tapi asik kalo dipahami,Positif,Manajemen Proyek
kurangnya mungkin harusnya bisa diperjelas tentang gambaran didunia kerja atau dunia nyata tentang materi tertentu biar lebih mantep lagi,Negatif,Manajemen Proyek
saya menyukai struktur algoritma nya ternyata setiap algoritma memiliki fungsi dan tujuan yang tertentu jika prediksi maka lebih baik algoritma yang a b jika analisis sentimen berbeda lagi algoritmanya setiap algoritma memiliki ciri dan cara kerja unik masing masing nya,Positif,Pembelajaran Mesin
kendalanya tidak semua algoritma dipelajari pada saat mata kuliah ini berlangsung hanya algoritma tertentu saja sehingga penelitian yang didapatkan juga terbatas pada algoritma itu itu saja bisa jadi analisis yang diinginkan tidak sesuai dengan cara kerja algoritma yang digunakan,Negatif,Pembelajaran Mesin
wawasan dan keingin tahuan saya untuk belajar coding untuk pengembangan aplikasi mobile,Positif,Pemrograman Mobile
dosennya sering libur,Negatif,Pemrograman Mobile
materi yang mudah dipahami,Positif,Technopreneurship
dosen kurang keras suaranya ketika menjelaskan sering buat ppt dan tamil didepan padahal kelas kami sedikit jadi kurang asyik aja gitu,Negatif,Technopreneurship
kurang suka karena tidak terlalu minat,Positif,Statistika dengan R/Python
materinya tentang angka dan coding yang dijadikan satu,Negatif,Statistika dengan R/Python
pratikumnya,Positif,Pemrograman Mobile
sejauh ini aman jaya,Negatif,Pemrograman Mobile
yang saya sukai dari mata kuliah basis data dan sql adalah sifatnya yang praktis dan langsung bisa diterapkan setiap perintah sql yang ditulis langsung menghasilkan output sehingga proses belajarnya terasa jelas dan terstruktur,Positif,Basisdata dan Pemrograman SQL untuk BIg Data
kendala yang saya rasakan adalah ketika query menjadi terlalu kompleks terutama jika melibatkan banyak tabel subquery atau fungsi agregasi kesalahan kecil dalam penulisan query bisa menyebabkan hasil yang tidak sesuai atau error,Negatif,Basisdata dan Pemrograman SQL untuk BIg Data
yang saya sukai dari mata kuliah manajemen proyek adalah karena materinya sangat aplikatif dan relevan dengan dunia kerja saya menyukai bagian penyusunan timeline proyek pembagian tugas dalam tim identifikasi risiko dan solusi pencegahannya,Positif,Manajemen Proyek
kendala yang saya rasakan adalah banyaknya istilah dan konsep yang harus dipahami secara detail seperti wbs cpm manajemen risiko dan lain lain,Negatif,Manajemen Proyek
dosen yang baik dan penyampaiannya jelas,Positif,Pembelajaran Mesin
kelasnya tidak nyaman,Negatif,Pembelajaran Mesin
materi yang mudah dipahami,Positif,Manajemen Proyek
kelasnya juga online saya kurang suka karena tidak maksimal,Negatif,Manajemen Proyek
dosennya baik dan sabar,Positif,Datawarehouse
ketika praktek sering error jadi kudu sabar,Negatif,Datawarehouse
dosennya baik menilai dan ingin mahasiswa berkembang,Positif,Teknologi Big Data dan Cloud Computer
jarang masuk kelas hanya pertemuan saja,Negatif,Teknologi Big Data dan Cloud Computer
pelajarannya sesuai dengan minat yang akan saya pilih yaitu cloud computing,Positif,Teknologi Big Data dan Cloud Computer
kurang maksimal karena pertemuannya online,Negatif,Teknologi Big Data dan Cloud Computer
tidak terlalu suka,Positif,Technopreneurship
pembawaan materi yang ga menarik ngantuk ditambah suara dosen yang kecil sangat,Negatif,Technopreneurship
mungkin bagian praktik query nya karna kan itu saya mencobakan dan melihat hasilnya langsung,Positif,Basisdata dan Pemrograman SQL untuk BIg Data
pas waktu pemcobaan nya dan ini masih cukup sulit di saya untuk memahaminya,Negatif,Basisdata dan Pemrograman SQL untuk BIg Data
materi dan penyampaian dosen yang mudah untuk dipahami,Positif,Teknologi Big Data dan Cloud Computer
online membuat malas dan pertemuan di online sering tidak maksimal,Negatif,Teknologi Big Data dan Cloud Computer
manfaat dari materinya serta proses belajar mengajar yang baik dan kondusif,Positif,Etika Profesi
sejauh ini tidak ada kendala namun yang baik tetap dipertahankan dan yang buruk harus dijauhi,Negatif,Etika Profesi
materi yang nyambung dengan kesukaan saya jadi mudah aja gitu dipahaminya,Positif,Basisdata dan Pemrograman SQL untuk BIg Data
kadang kurang jelas aja dosen menerangkan materi,Negatif,Basisdata dan Pemrograman SQL untuk BIg Data
saya menyukai pembahasan pada mata kuliah ini terdengar serderhana namun praktiknya perlu upaya yang maksimal tentunya bagaimana kita menjaga data bagaimana kita mengamankan data sendiri dan hal lainnya yang menarik yang dibahas dalam mata kuliah ini,Positif,Etika Profesi
mata kuliah ini sangat bagus di ampu juga oleh dosen yg berkompeten dan juga kurikulum rpp yang sesuai hanya perlu peningkatan pembahasan saja untuk lebih baiknya,Negatif,Etika Profesi
materi yang menarik penyampaian dosen yang cukup dipahami,Positif,Pembelajaran Mesin
kadang dosen juga tidak terlalu paham dengan metode tertentu di pembelajaran mesin kadang juga ada hitung hitungan manualnya,Negatif,Pembelajaran Mesin
penyampain dosen yang ga monoton dan diselingi dengan cerita yang bermanfaat,Positif,Kecakapan Antar Personal
saya rasa cukup perbaiki masing masing individu saja,Negatif,Kecakapan Antar Personal
tugasnya ga sulit,Positif,Teknologi Big Data dan Cloud Computer
kurang banyak tugasnya,Negatif,Teknologi Big Data dan Cloud Computer
dosen yg baik dan sabar,Positif,Etika Profesi
sering ngantuk karna full materi,Negatif,Etika Profesi
yang saya sukai dari mata kuliah kecakapan antar personal adalah materinya sangat relevan dengan kehidupan sehari hari baik di kampus organisasi maupun di dunia kerja nanti,Positif,Kecakapan Antar Personal
kendala yang saya rasakan adalah karena materi bersifat soft skill terkadang penilaiannya terasa lebih subjektif dibandingkan mata kuliah teknis,Negatif,Kecakapan Antar Personal
yang saya sukai dari mata kuliah ini adalah karena materinya sangat relevan dengan perkembangan teknologi saat ini terutama dalam bidang data science sistem informasi dan aplikasi berbasis internet,Positif,Teknologi Big Data dan Cloud Computer
kendala yang saya rasakan adalah banyaknya konsep baru yang cukup kompleks terutama terkait arsitektur big data dan layanan cloud yang beragam,Negatif,Teknologi Big Data dan Cloud Computer
kurang suka karena materinya ga seperti yang saya bayangkan,Positif,Pemrograman Mobile
dosen jarang hadir dan kalaupun masuk sering terlambat,Negatif,Pemrograman Mobile
dosennya sabar baik dan ga pelit nilai,Positif,Datawarehouse
materi agak sulit,Negatif,Datawarehouse
penyampaian materinya jelas dan mudah dipahami,Positif,Pembelajaran Mesin
tidak ada rasanya,Negatif,Pembelajaran Mesin
dosen tepat waktu dan pertemuan mencukupi jadi teman teman yang terlambat pun segan,Positif,Technopreneurship
suara dosen tolong untuk di besarkan supaya terdengar juga jangan monoton pembahasan atau cara belajarnya,Negatif,Technopreneurship
,Positif,Statistika dengan R/Python
,Negatif,Statistika dengan R/Python
kurang suka karena berhubungan dengan angka,Positif,Statistika dengan R/Python
dosen jarang masuk materi jalan di tempat atau itu itu aja pertemuan ga maksimal,Negatif,Statistika dengan R/Python
proses pembuatan aplikasi mobile nya itu mungkin bagian yang saya sukai,Positif,Pemrograman Mobile
tapi waktu itu banyak halangan terkait waktu kuliah seperti masalah dosen yang jarang hadir jadi saya tidak terlalu mengerti sama mata kuliah ini dan kurang materi,Negatif,Pemrograman Mobile
tidak terlalu menarik karena dosennya juga tidak menarik,Positif,Basisdata dan Pemrograman SQL untuk BIg Data
materinya sama dengan database jadi ga sesuai dengan matakulaih nya yang dengan r python,Negatif,Basisdata dan Pemrograman SQL untuk BIg Data
lumayan banyak hitung hitung yang bikin otak mikir dan bekerja,Positif,Pembelajaran Mesin
kelasnya harus pinjam remot dulu untuk hidupin proyektor dan itu makan waktu sehingga kelas agak lama muainya karena menunggu,Negatif,Pembelajaran Mesin
